custid,debtinc,creddebt,othdebt,preloan,veh,house,selfemp,account,deposit,emp,address,branch,ref,age,gender,ms,child,zone,bad
1014,12.41,2.26,4.01,2,1,1,2,1,2,6,9,2,2,1,2,1,1,20,0
1015,16.03,1.76,2.39,1,1,2,2,2,1,1,6,2,1,1,2,1,1,3,0
1016,19.81,0.92,2.95,1,2,1,1,2,1,5,15,1,2,1,2,1,1,16,0
1017,23.2,6.41,7.74,1,2,2,2,2,2,17,5,2,1,1,1,2,2,18,0
1018,10.68,2.62,1.23,1,2,1,2,1,2,1,3,1,2,3,2,1,1,16,0
1019,9.24,2.2,3.24,2,1,1,2,1,2,4,15,2,2,3,1,2,1,10,0
1020,5.91,1.18,2.65,2,2,2,1,1,2,5,1,2,2,1,2,2,2,11,0
1021,5.72,1.83,2.59,2,2,2,2,1,1,9,4,1,1,3,2,1,1,20,0
1022,14.73,0.4,5.97,2,2,2,2,2,1,4,4,1,1,1,2,1,1,6,0
1023,3.84,1.62,1.25,1,1,1,1,2,2,16,23,1,1,3,1,2,2,12,0
1024,8.96,3.59,1.65,1,1,2,1,1,1,0,8,2,2,1,1,2,2,4,0
1025,18.74,4.01,5.73,2,2,1,2,1,2,6,12,2,1,2,1,1,1,16,1
1026,28.17,16.29,18.82,1,1,1,1,1,1,25,12,1,2,3,2,2,1,2,0
1027,21.62,3.84,14.52,2,1,1,2,2,2,13,6,2,1,1,1,2,1,3,0
1028,4.78,1.03,1.72,1,2,2,1,2,2,3,4,2,2,2,1,1,1,15,0
1029,11.61,0.67,3.59,2,1,2,1,1,1,1,9,2,1,2,1,2,1,20,0
1030,13.43,1.79,2.7,1,2,2,1,1,2,8,7,2,2,3,2,2,2,15,0
1031,1.43,2.14,0.97,2,2,1,2,1,2,1,1,2,2,3,2,2,1,6,0
1032,3.8,0.6,2.47,1,2,1,2,2,2,4,3,1,2,2,2,2,2,6,0
1033,5.6,0.93,1.89,2,2,1,1,1,1,2,4,1,1,2,1,1,1,17,0
1034,15.25,2.19,5.13,2,2,1,1,2,1,1,5,1,1,1,1,1,1,15,0
1035,19.01,7.81,9.35,2,1,2,1,1,1,16,9,1,2,2,1,1,1,1,0
1036,4.2,0.35,2.86,2,1,1,1,2,1,12,2,1,1,3,2,2,1,11,0
1037,16.29,2.7,5.76,1,2,2,2,1,2,8,17,2,2,2,1,1,1,10,0
1038,12.46,2.91,2.79,1,1,2,2,1,2,21,12,1,1,2,2,1,1,4,0
1039,24.18,8.31,4.19,2,1,2,1,2,1,6,9,2,1,3,2,2,2,7,1
1040,16.3,1,5.12,2,2,2,2,1,1,4,3,1,2,3,2,1,1,11,0
1041,16.35,4.74,2.23,1,1,2,2,2,1,6,20,2,1,1,2,1,1,6,0
1042,10.6,2.05,1.02,2,1,1,1,1,1,5,9,2,1,2,1,1,1,1,0
1043,6.64,1.86,2.73,1,2,2,1,1,2,15,20,1,1,2,2,2,1,20,0
1044,19.41,8.54,27.43,1,2,1,2,2,1,5,4,1,1,3,2,2,2,19,0
1045,13.93,5.65,5.73,2,1,1,2,1,1,19,4,2,2,2,1,1,1,5,0
1046,17.86,2.84,4.29,2,2,1,2,2,2,0,9,1,1,2,2,2,1,19,0
1047,8.18,1.33,0.66,2,2,2,1,2,1,3,1,2,1,2,1,2,2,14,0
1048,13.59,1.42,3.53,2,1,2,1,1,1,11,13,1,1,2,1,1,1,13,0
1049,4.28,0.93,0.31,1,2,2,2,2,1,3,8,1,1,2,1,1,1,10,0
1050,5.71,0.67,2.54,2,1,1,1,2,1,2,1,2,1,1,2,1,1,2,0
1051,4.27,1.51,1.92,1,2,2,2,2,2,9,22,1,2,2,2,2,2,18,0
1052,22.02,0.99,2.48,1,2,2,1,2,1,1,3,2,1,1,2,2,1,11,0
1053,5.53,0.47,2.32,1,2,1,1,2,2,10,9,2,2,2,2,1,1,16,0
1054,11.1,3.42,5.06,2,2,1,1,2,2,6,14,2,2,3,2,1,1,5,0
1055,16.31,6.9,5.8,2,2,1,1,1,1,19,6,2,2,2,1,2,2,9,1
1056,15.21,1.37,9.38,1,2,1,2,2,2,7,7,2,2,1,2,2,1,11,1
1057,25,4.63,4.67,2,2,1,1,2,1,2,16,1,1,1,1,1,1,17,0
1058,18.74,2.21,2.69,2,2,1,1,2,1,0,2,2,2,3,2,2,1,18,0
1059,27.79,4.03,9.51,1,1,1,2,1,1,9,10,2,1,3,1,2,1,20,0
1060,9.11,3.88,1.26,2,2,1,2,2,1,1,2,2,1,1,1,2,2,18,0
1061,7.14,0.16,2.36,1,1,2,1,2,2,13,8,2,1,3,2,2,2,11,0
1062,4.73,2.12,0.37,2,1,1,2,1,1,15,4,2,2,3,2,2,2,16,0
1063,18.68,4.07,2.81,1,1,2,2,2,2,6,8,1,2,3,1,2,1,14,0
1064,9.06,1.54,2.6,2,2,1,1,2,2,2,23,2,2,3,2,1,1,4,0
1065,17.76,1.7,1.15,1,1,1,1,1,1,0,18,1,1,2,2,2,2,7,0
1066,6.13,2.28,1.2,1,1,1,2,1,1,4,14,2,2,1,2,2,2,12,0
1067,11.33,1.49,2.53,2,1,2,1,1,2,5,13,1,1,1,1,1,1,14,0
1068,3,0.5,1.21,1,1,1,1,1,2,19,9,2,2,2,1,2,1,17,0
1069,13.85,7.06,2.72,1,2,1,2,2,1,18,9,2,2,2,1,1,1,6,0
1070,4.34,2.4,1.58,2,1,2,1,1,2,23,4,1,1,1,2,1,1,6,0
1071,9.65,2.78,3.83,2,2,1,1,2,2,14,11,1,2,2,1,1,1,9,0
1072,9.81,1.96,2.07,2,2,2,2,2,2,7,4,1,1,2,2,1,1,9,0
1073,7.72,2,1.08,1,2,2,1,1,2,9,11,1,1,2,2,2,1,17,0
1074,43.14,17.48,15.85,1,1,1,1,1,1,14,9,2,1,2,1,1,1,3,0
1075,3.22,1.53,1.7,1,2,2,1,1,2,21,17,1,2,2,1,1,1,4,0
1076,3.8,0.51,1.51,1,1,2,2,2,1,2,5,1,1,1,2,2,1,5,0
1077,10.16,2.1,2.67,1,1,1,2,1,1,7,16,1,2,1,1,1,1,18,0
1078,6.44,1.15,1.13,1,2,1,1,1,1,2,0,1,2,1,1,1,1,1,0
1079,9.01,1.83,2.57,1,2,1,2,1,2,15,3,1,2,1,1,1,1,6,0
1080,6.88,2.09,1.41,2,2,1,2,1,1,11,7,2,2,1,2,2,2,18,0
1081,9.28,1.98,2.94,1,2,2,2,2,1,12,8,2,1,2,2,2,1,4,0
1082,35.28,7.31,10.79,2,2,2,1,1,1,13,20,1,2,3,2,2,2,17,0
1083,18.3,4.63,4.8,2,2,1,2,1,1,3,13,2,2,2,1,1,1,17,0
1084,4.76,2.22,0.7,1,2,1,1,1,2,3,3,2,1,1,1,2,2,17,0
1085,11.65,1.97,5.27,1,2,1,1,2,2,9,0,2,1,1,2,2,2,10,0
1086,25.06,1.62,5.92,2,1,2,2,1,1,3,12,1,1,2,2,2,2,5,0
1087,7.46,3.12,1.38,2,2,1,2,1,2,7,4,2,1,3,2,2,1,19,0
1088,3.82,1.02,5.34,2,1,1,1,2,1,16,0,1,2,2,2,1,1,16,0
1089,8.88,2.73,1.8,1,2,2,1,2,1,7,10,2,2,1,1,2,1,6,0
1090,10.43,2.53,4.27,1,1,1,1,2,2,13,8,2,2,2,2,1,1,13,0
1091,7.37,2.64,3.44,2,2,1,1,2,1,22,5,2,1,3,2,1,1,3,0
1092,10.47,1.11,1.67,2,2,2,1,1,1,2,5,1,2,3,1,2,2,10,0
1093,6.95,3.1,2.48,2,2,1,2,1,2,3,15,1,2,2,1,1,1,7,0
1094,20.86,9.2,8.14,1,1,1,1,1,1,6,29,1,1,1,1,1,1,4,0
1095,22.12,4.18,9.16,2,1,1,1,2,2,9,1,2,2,2,2,2,1,4,0
1096,15.47,0.71,5.86,1,1,2,2,1,1,5,5,1,1,1,2,1,1,20,0
1097,20.16,2.05,5.41,2,2,2,1,2,1,15,8,1,1,2,2,2,1,15,0
1098,14.56,5.43,3.07,1,1,1,1,1,2,12,5,2,2,3,2,2,1,17,0
1099,13.83,3.29,2.27,1,1,1,1,1,2,1,7,1,1,3,2,2,2,9,0
1100,9.93,0.9,2.26,1,2,2,1,1,1,3,3,2,1,2,2,1,1,13,0
1101,12.23,3.28,3.03,2,2,2,1,2,2,1,4,1,1,2,2,1,1,11,0
1102,1.76,0.45,0.66,1,1,2,2,1,2,5,14,1,1,2,1,1,1,20,0
1103,11.07,2.05,2.74,1,1,2,2,1,2,6,3,1,2,2,1,1,1,9,0
1104,32.83,4.27,16.1,1,2,1,2,1,1,0,9,1,2,2,1,2,1,16,0
1105,18.18,2.29,5.1,1,1,1,2,1,1,19,10,2,2,2,2,2,2,2,0
1106,14.28,4.07,7,2,2,2,1,2,2,17,15,1,2,2,2,1,1,16,0
1107,10.61,2.38,2.91,2,1,2,1,1,1,13,2,1,1,3,1,2,2,4,0
1108,8.6,2.86,4.95,2,1,1,2,1,2,0,10,2,2,3,1,2,2,2,0
1109,7.27,3.11,0,2,1,2,1,1,1,14,12,1,1,3,1,2,2,14,0
1110,8.92,0.5,2.53,1,2,2,2,1,2,10,5,2,1,1,1,1,1,19,0
1111,6.89,2.58,1.45,2,1,2,1,2,1,22,26,2,2,2,1,1,1,9,0
1112,14.49,3.68,9.47,1,1,2,2,1,2,22,24,1,1,3,2,2,1,4,0
1113,6.42,2.66,1.7,1,1,1,1,2,1,14,18,2,2,2,2,2,2,15,0
1114,15.72,3.67,1.62,2,2,2,1,2,1,0,6,2,1,2,1,1,1,10,1
1115,25.33,2.83,4.84,2,2,2,2,2,1,2,8,1,1,1,2,1,1,7,1
1116,7.77,1.68,3.81,1,1,1,2,2,1,8,4,1,1,2,1,2,1,4,0
1117,5.62,0.39,1.87,2,2,1,2,1,1,1,1,2,1,1,1,2,1,18,0
1118,7.58,0.91,2.93,1,2,1,1,1,1,5,2,1,2,3,2,2,1,10,0
1119,28.73,6.55,9.55,2,1,1,2,2,1,12,5,2,1,1,2,1,1,14,1
1120,32.44,3.34,13.87,1,1,1,2,2,1,19,8,1,1,2,1,1,1,13,0
1121,15.65,2.63,3.43,2,2,2,2,1,1,2,15,1,2,1,1,2,2,1,0
1122,4.3,1.09,3.51,2,2,2,2,1,1,17,11,1,1,2,1,2,2,14,0
1123,10.5,2.18,1.57,2,1,1,2,1,1,3,8,1,1,1,2,2,2,10,0
1124,7.23,0.97,2.64,1,1,1,2,2,1,9,7,1,1,3,2,2,2,14,0
1125,20.5,3.69,6.34,2,1,1,2,2,2,0,5,1,1,1,2,1,1,8,0
1126,2.53,2.08,2.41,2,1,2,1,1,2,9,1,2,2,1,1,1,1,3,0
1127,5.88,1.98,0.88,1,2,1,2,2,2,0,2,1,2,3,2,2,2,6,0
1128,3.31,1.45,1.8,2,1,1,2,2,1,16,8,2,2,3,1,2,1,6,0
1129,7.6,1.44,1.79,2,1,1,2,2,2,2,1,2,2,1,2,1,1,13,1
1130,24.26,9.4,9.15,1,2,2,1,2,2,22,2,1,2,2,2,2,1,8,0
1131,28.34,10.1,9.32,2,2,1,1,2,1,13,6,2,1,3,1,2,1,18,1
1132,8.53,2.18,2.07,1,2,1,1,1,1,11,5,1,1,3,2,1,1,20,0
1133,9.14,2.81,4.88,2,1,1,2,1,1,9,5,1,2,3,1,1,1,2,0
1134,15.64,3.95,3.24,1,1,2,2,1,1,0,9,2,1,2,1,2,1,9,1
1135,22.68,7.25,6.65,2,1,1,2,1,1,10,16,2,1,3,1,2,2,4,0
1136,8.09,1.17,3.31,2,2,1,2,2,1,2,2,1,2,2,1,2,1,9,0
1137,2.89,1.44,0.25,2,2,2,2,1,1,1,5,1,1,3,2,2,1,11,0
1138,7.88,4.42,8.55,2,1,2,1,1,2,18,15,2,2,1,2,1,1,17,0
1139,7.02,2.58,0.91,1,2,2,2,2,2,8,2,2,1,3,2,2,2,16,0
1140,6.86,0.93,2.72,2,2,1,1,2,1,16,13,1,1,2,2,2,2,17,0
1141,16.88,5.82,10.59,1,1,1,2,2,2,23,1,1,1,3,1,2,1,20,0
1142,13.11,2.97,3.54,2,1,1,2,2,1,11,11,2,2,1,1,2,2,5,0
1143,21.92,4.6,11.96,1,2,1,1,1,1,24,2,1,2,1,1,2,2,18,0
1144,32.84,4.43,4.95,2,2,1,1,2,2,3,3,2,1,2,2,2,2,10,0
1145,7.6,18.98,14.03,2,2,1,1,2,1,19,14,1,2,2,1,2,2,10,0
1146,17.54,5.24,4.56,2,2,1,1,2,1,12,21,1,2,1,1,2,2,17,0
1147,5.53,1.12,1.17,1,2,2,1,2,2,6,9,2,1,2,1,1,1,13,0
1148,15.11,2.1,2.57,2,1,2,1,1,2,7,12,1,1,3,2,1,1,1,0
1149,16.25,4.13,3.98,1,2,1,1,1,1,3,13,2,2,2,1,1,1,8,0
1150,20.43,1.83,3.39,1,1,2,2,2,1,3,3,2,1,2,1,1,1,15,0
1151,4.96,2.72,5.16,1,2,2,1,2,1,26,16,2,1,1,2,1,1,4,0
1152,14.23,1.46,2.48,1,2,2,2,1,1,7,9,2,1,2,1,2,1,7,0
1153,16.89,5.43,4.17,1,2,1,2,1,2,11,18,2,1,1,1,1,1,19,0
1154,9.39,3.06,2.63,1,2,1,1,2,1,1,9,2,2,3,1,1,1,20,0
1155,19.43,3.09,3.96,2,1,2,2,2,2,2,15,2,1,2,2,1,1,12,1
1156,15.84,1.97,3.36,1,2,2,1,2,1,1,11,1,1,1,2,2,2,14,0
1157,9.23,3.07,10.87,2,1,1,1,1,2,9,16,2,2,2,2,2,1,4,0
1158,19.13,2.6,3.16,1,1,1,1,1,1,4,3,2,2,2,1,1,1,8,0
1159,15.1,3.7,2.76,2,2,1,2,2,2,2,26,1,2,3,1,1,1,7,0
1160,4.73,2.19,0.84,2,1,2,1,1,2,10,2,1,2,3,1,1,1,6,0
1161,4.05,0.59,1.71,2,1,1,1,1,2,8,0,2,2,3,1,2,2,15,0
1162,13.82,2.37,3.07,2,1,2,2,2,2,1,2,1,2,1,2,2,2,17,0
1163,4.08,1.66,1.91,1,2,1,1,2,2,10,3,2,2,3,1,1,1,14,0
1164,8.99,1.28,2.06,1,1,1,2,2,2,9,1,2,2,3,1,2,2,11,0
1165,26.75,2.78,4.94,1,2,1,1,1,1,1,23,1,2,2,2,1,1,20,0
1166,24.97,2.39,4.14,1,1,2,1,1,1,4,2,2,1,2,2,2,2,17,0
1167,19.91,16.89,23.35,2,1,2,1,1,2,16,26,2,2,2,2,2,2,3,1
1168,6.94,2.51,2.19,2,1,1,1,2,2,7,1,2,2,1,1,2,2,11,0
1169,21.4,3.73,10.02,1,2,1,2,2,1,6,10,2,1,3,2,2,1,1,0
1170,7.9,0.36,2.53,1,2,2,2,2,1,3,1,1,1,1,1,2,1,10,1
1171,20.08,3.15,3.4,1,2,2,2,2,2,8,5,2,2,3,2,2,1,7,1
1172,8.28,0.7,3.03,1,2,2,2,1,1,1,4,2,2,3,1,1,1,2,0
1173,14.49,2.22,3.43,1,1,2,2,1,1,12,3,2,1,3,1,1,1,9,0
1174,7.67,1.95,1.7,1,1,1,1,1,2,2,1,2,1,3,2,2,2,11,0
1175,4,0.86,2.54,1,1,2,2,2,1,13,0,1,1,2,2,1,1,1,0
1176,12.56,2.49,5.52,2,1,2,1,2,2,12,16,1,1,2,2,1,1,20,0
1177,18.29,0.57,4.26,1,1,2,2,2,2,4,2,1,1,3,2,2,2,1,1
1178,13.03,2.97,3.63,2,2,2,1,1,2,6,5,2,2,3,1,2,2,18,0
1179,12.47,1.46,18.81,2,1,2,2,2,1,28,22,1,2,1,2,1,1,11,0
1180,21.39,6.02,5.65,2,2,2,2,2,2,21,17,2,1,2,2,2,1,14,0
1181,9.5,1.71,1.91,1,1,1,2,2,1,10,21,2,2,2,2,1,1,12,0
1182,10.67,3.49,3.54,1,2,1,1,2,1,3,3,1,2,2,1,2,1,14,0
1183,9.26,3.75,3.22,2,1,2,1,1,2,5,3,1,2,1,1,1,1,2,0
1184,7.83,1.12,2.23,2,1,2,2,1,1,7,2,2,2,2,2,1,1,7,0
1185,14.53,5.95,7.32,1,1,1,2,2,1,5,18,1,2,1,1,1,1,12,1
1186,9.49,2.26,2.51,1,1,1,1,2,1,4,10,2,1,2,1,1,1,3,0
1187,7.02,2.61,1.04,1,2,1,2,1,1,3,8,1,2,3,2,1,1,11,1
1188,21.13,6.87,7.25,2,1,2,2,1,1,11,13,1,1,3,2,2,2,9,1
1189,18.65,2.83,2.4,1,2,2,2,2,1,0,16,2,1,3,1,2,1,5,1
1190,5.62,1.73,1.81,2,2,1,1,1,2,16,32,1,2,2,2,2,1,1,0
1191,5.27,0.4,1.96,2,2,2,1,1,2,14,14,1,1,2,2,2,1,16,0
1192,28.08,2.84,21.9,1,1,2,2,1,1,14,13,1,2,2,2,2,1,13,0
1193,36.8,2.53,8.83,1,1,1,2,1,1,0,3,2,2,1,1,2,2,9,0
1194,17.01,7.42,4.91,2,1,1,2,1,1,13,15,1,2,1,1,1,1,18,0
1195,18.29,3.31,3.11,1,1,1,2,2,2,3,3,1,1,2,1,2,2,2,0
1196,11.34,1.45,1.35,1,2,1,2,2,2,4,9,1,2,2,2,2,1,20,0
1197,9.62,3.86,5.16,2,2,2,2,2,2,12,10,2,2,2,1,1,1,19,0
1198,15.8,2.69,10.61,1,1,2,1,2,1,12,5,2,1,3,1,2,1,10,0
1199,22.7,2.57,3.25,1,2,2,2,1,2,0,2,1,2,2,2,2,1,6,0
1200,22.81,4.54,3.55,1,2,1,1,2,1,6,0,2,1,3,2,2,2,13,0
1201,12.26,0.72,1.68,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,0
1202,19,3.27,6.29,1,1,1,2,2,1,4,11,2,2,3,2,1,1,2,0
1203,10.04,5.63,12.18,1,2,2,2,2,2,7,24,2,2,2,1,1,1,7,0
1204,14.83,1.4,3.22,1,2,2,1,1,2,4,19,2,1,2,2,1,1,18,0
1205,20.45,1.63,3.89,1,2,2,1,2,1,1,3,1,1,2,1,1,1,12,0
1206,22.37,3.94,4.67,2,1,1,1,2,2,2,5,2,2,2,2,2,2,17,0
1207,7.18,0.71,4.7,2,1,1,2,2,2,19,25,1,1,3,2,2,1,8,0
1208,3.53,1.94,1.59,2,1,2,2,1,2,10,2,1,2,2,2,2,2,9,0
1209,19.47,2.54,2.39,1,1,2,2,1,2,1,4,1,1,2,1,1,1,3,0
1210,12.2,1.39,6.37,1,1,2,1,2,2,19,11,2,2,2,1,1,1,9,0
1211,22.51,3.15,3.65,2,1,1,2,2,2,4,1,1,1,1,1,2,1,10,0
1212,13.44,4.31,3.57,1,2,2,1,2,1,13,8,1,2,2,1,2,1,11,0
1213,7.12,3.25,2.43,1,2,1,1,2,2,7,9,2,2,2,1,1,1,1,0
1214,12.3,0.89,1.36,1,1,2,2,1,1,6,9,1,2,3,1,1,1,14,0
1215,12.12,2.59,3.38,1,2,1,1,1,1,14,2,2,2,3,1,2,2,20,0
1216,16.28,3.41,8.26,1,2,2,1,2,2,12,1,2,2,2,2,1,1,16,0
1217,14.74,6.36,8.23,1,2,1,1,2,1,23,10,1,1,3,1,1,1,7,0
1218,5.33,0.6,2.11,2,2,1,1,1,2,1,20,2,1,2,1,2,1,9,0
1219,7.83,1.51,1.12,2,2,1,1,1,2,7,22,2,2,2,1,2,1,10,0
1220,3.08,2.17,1.01,2,2,1,2,2,1,10,1,1,2,1,2,2,2,5,0
1221,16.42,2.01,5.31,2,2,1,1,1,1,7,5,1,2,3,2,1,1,19,0
1222,7.76,3.09,1.96,1,1,1,1,1,1,6,6,1,1,1,2,1,1,12,0
1223,6.11,1.21,1.55,2,2,2,1,2,2,4,7,1,1,2,2,2,2,9,0
1224,5.63,3.95,2.05,2,2,1,2,2,2,18,22,2,2,1,1,2,2,13,0
1225,10.28,3.48,1.54,1,1,1,2,2,2,3,5,2,1,3,2,2,1,2,0
1226,5.14,2.72,2.43,2,2,2,2,1,1,6,12,1,1,3,2,2,2,7,0
1227,6.71,2.44,4.27,2,1,2,1,2,2,10,10,1,2,2,2,2,2,18,0
1228,12.6,1.83,2.07,2,2,1,1,1,1,4,11,1,1,1,1,2,1,1,0
1229,12.43,5.32,16.19,2,1,1,2,2,2,32,15,2,2,1,2,1,1,7,0
1230,27.26,3.74,3.23,2,2,1,1,1,1,5,4,1,1,1,2,2,1,18,0
1231,15.44,2.21,3.51,2,2,2,2,2,1,6,10,2,2,1,1,1,1,19,0
1232,16.68,4.84,2.91,1,1,1,2,1,2,1,4,2,2,1,1,1,1,7,0
1233,17.82,1.02,4.1,1,2,1,2,1,1,2,14,1,1,3,1,2,1,2,0
1234,11.88,0.65,2.88,1,1,2,2,1,1,10,8,1,1,2,1,1,1,6,0
1235,10.37,1.9,2.5,2,1,2,1,1,2,2,16,1,1,3,1,1,1,19,0
1236,15.85,5.65,5.11,1,1,2,2,2,1,16,1,1,2,1,2,1,1,13,0
1237,4.76,2.03,1.01,1,2,2,1,2,2,10,8,1,2,3,1,1,1,3,0
1238,15.62,3.9,5.75,1,2,1,1,1,1,5,6,2,2,1,2,2,1,14,1
1239,11.62,3.21,6.12,1,2,2,2,1,2,18,23,1,2,3,2,1,1,18,0
1240,17.83,1.12,2.93,2,1,1,1,1,1,4,1,1,2,3,2,2,1,20,0
1241,10.77,2.13,4.06,2,2,1,1,2,1,16,9,2,2,2,2,2,2,6,0
1242,9.19,2.14,2.49,2,1,1,2,1,1,11,3,2,2,2,1,2,2,4,0
1243,23.58,4.83,10.93,1,1,1,2,2,1,13,9,2,1,1,1,1,1,7,0
1244,30.82,3.1,4.84,1,2,1,1,1,2,4,3,2,2,3,2,2,1,6,0
1245,8.32,0.43,2.53,2,2,1,2,2,1,13,19,1,1,1,2,2,1,10,0
1246,13.19,2.65,3.07,1,1,2,2,2,2,10,25,2,2,3,1,2,2,13,0
1247,13.66,4.13,7.41,2,1,1,2,2,1,9,8,2,2,2,1,1,1,13,0
1248,19.92,3.93,18.66,2,2,2,1,1,2,11,18,1,2,1,1,1,1,13,0
1249,22.47,2.48,5.25,2,1,1,1,1,1,4,12,1,1,1,2,1,1,20,0
1250,26.87,6.25,19.5,2,1,2,2,2,2,13,11,1,2,3,2,2,1,11,0
1251,5.33,2.9,0.71,2,2,1,1,2,1,1,5,1,2,3,2,1,1,20,0
1252,10.64,2.37,2.67,1,1,1,1,1,2,1,1,1,1,1,2,1,1,11,0
1253,19.45,5.62,7.08,2,2,2,1,2,2,12,4,2,2,2,2,2,2,15,0
1254,10.9,1.68,4.6,2,2,2,2,1,2,18,23,2,2,2,1,1,1,3,0
1255,9.62,3.04,3.45,1,2,2,2,2,1,22,22,1,1,3,2,1,1,16,0
1256,7.31,2.62,2.97,2,1,1,1,2,1,9,1,2,1,3,1,1,1,5,0
1257,6.48,2.69,1.68,1,2,1,2,2,2,8,1,2,2,2,1,1,1,16,0
1258,11.43,7.47,12.21,1,2,2,1,1,1,13,17,1,1,1,2,2,2,1,0
1259,5.47,0.21,2,1,1,2,2,1,2,2,3,1,1,3,2,2,1,12,0
1260,17.17,7.48,3.45,2,2,2,2,1,1,15,18,2,1,1,1,2,1,10,0
1261,6.64,0.42,1.74,1,2,1,2,2,2,11,5,2,2,1,1,1,1,1,0
1262,8.3,4.4,2.03,1,1,1,1,2,2,9,12,1,1,3,2,1,1,3,0
1263,5.35,2.53,5.32,1,1,1,1,1,1,23,12,2,1,3,1,2,1,13,0
1264,4,2.53,1.08,2,2,2,1,1,1,12,8,2,1,1,1,1,1,10,0
1265,14.81,6.92,6.48,1,2,2,2,2,1,8,2,2,1,3,1,2,1,14,0
1266,19.95,5.96,6.5,1,1,2,1,1,2,14,10,2,1,1,2,1,1,18,0
1267,8.78,2.29,4.07,2,2,2,1,1,1,13,19,2,1,3,1,2,1,3,0
1268,4.92,1.44,2.6,2,1,2,2,1,2,10,26,2,1,1,2,2,1,16,0
1269,22.63,4.51,5.79,2,2,1,2,1,2,6,4,1,1,2,2,1,1,11,0
1270,8.58,3.31,6.77,2,1,2,2,2,1,19,34,2,2,1,2,1,1,5,0
1271,13.89,3.4,2.89,2,1,2,2,1,2,0,1,1,2,2,2,1,1,3,0
1272,5.71,0.41,0.66,1,2,1,1,1,2,2,1,1,2,1,2,2,1,17,0
1273,17.98,0.95,13.5,2,1,2,1,2,1,23,2,1,2,3,1,2,1,19,0
1274,11.55,3.03,1.81,2,1,1,2,1,2,4,6,1,2,3,2,1,1,1,1
1275,31.47,6.95,1.2,2,2,1,1,1,2,10,0,2,1,2,1,2,1,14,0
1276,13.53,2.31,2.68,2,1,2,2,2,1,1,0,2,2,2,1,2,1,9,0
1277,7.04,1.97,2.05,2,1,1,2,1,1,8,0,1,2,1,1,2,2,11,0
1278,8.55,2.44,6.11,2,2,2,2,1,1,22,5,2,1,3,2,2,2,5,0
1279,11.95,2.37,3.46,1,2,2,1,2,1,3,2,1,2,1,1,2,2,13,0
1280,14.37,2.51,2.4,2,1,1,1,1,2,6,17,1,2,3,2,2,1,3,0
1281,5.18,3.39,2.63,1,1,1,1,2,2,3,10,2,1,2,2,1,1,3,0
1282,6.83,1.7,1.15,1,2,2,1,2,2,8,4,2,2,3,1,1,1,16,0
1283,9.97,4.78,2.03,2,1,1,2,2,1,9,2,2,1,2,1,1,1,1,0
1284,37.66,7.8,12.12,1,1,2,1,2,1,17,15,1,1,1,2,1,1,11,0
1285,36.7,3.73,4.3,1,1,2,1,1,2,0,2,1,1,1,1,2,2,2,0
1286,6.92,1.21,2.65,2,1,2,2,2,1,9,3,2,2,1,1,2,2,10,0
1287,10.37,2.3,4.21,1,2,1,1,2,1,8,5,1,2,3,2,2,1,3,0
1288,15.91,2.46,8.41,2,2,1,1,2,2,18,0,2,2,2,1,2,2,13,0
1289,7.69,2.81,2.09,1,1,1,1,1,2,9,8,2,2,1,2,1,1,5,0
1290,8.34,1.94,3,1,2,2,2,2,1,3,6,2,1,3,2,1,1,4,0
1291,17.01,7.17,1.33,1,2,2,1,2,2,10,2,2,2,2,1,1,1,1,0
1292,12.37,0.53,1.66,1,2,2,1,1,2,0,1,2,2,2,2,1,1,10,0
1293,19.43,2.89,6.39,1,1,1,2,2,2,8,10,2,1,1,1,1,1,11,0
1294,14.52,2.99,3.32,2,2,1,1,2,2,8,3,1,2,3,2,1,1,18,0
1295,17.46,3.7,1.13,2,1,1,1,1,2,2,1,2,2,1,1,1,1,3,0
1296,9.4,2.77,2.98,1,1,1,2,1,1,11,17,1,2,1,1,2,2,17,0
1297,9.19,2.84,3.63,1,2,1,1,2,2,1,2,2,2,3,1,2,1,19,0
1298,18.36,5.11,1.82,2,2,2,2,1,2,5,0,2,1,3,1,2,1,17,0
1299,14.3,1.62,2.73,1,1,2,2,2,2,2,11,1,1,2,1,2,2,5,0
1300,29.23,6.41,6.14,2,1,1,2,1,2,3,5,2,1,2,2,2,1,15,0
1301,8.31,2.61,3.57,1,2,2,1,1,1,5,18,1,1,1,1,1,1,15,0
1302,14.29,8.79,5.8,1,1,2,2,2,2,24,13,2,1,3,1,2,2,19,0
1303,9.87,5.62,3.34,1,1,2,2,2,2,11,6,2,2,2,1,2,1,16,0
1304,6.24,0.45,2.32,1,1,2,1,2,2,9,13,2,1,1,1,2,1,6,0
1305,28.7,3.02,6.66,2,1,1,2,2,2,4,6,2,2,2,1,1,1,14,0
1306,9.62,4.32,10.01,1,2,2,1,1,2,28,9,2,1,2,1,1,1,2,0
1307,26.26,4.87,4.44,2,1,1,1,2,2,1,4,1,1,3,2,2,1,7,0
1308,6.15,2.06,1.67,1,1,1,1,1,2,3,15,2,2,2,2,1,1,8,0
1309,10.16,1.87,3.59,1,1,2,1,2,2,7,2,1,2,1,2,2,2,1,0
